Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Day,DayOfWeek,Cost_Per_KM,Risk_LeadTime,Weight_Per_KM,Risk_Reliability,High_Risk,Prediction,Probability,Recommended_Action
5,7,2,4,10686.02,235.23,2.51,6.2,4,0.677,25.24,1,2024,4,10,6,0.0002348863281184,156.488,0.0220128728937434,2.0026,0,1,0.82611775,Prioritize Shipment
3,6,1,0,12246.64,65.41,2.63,6.1,4,0.911,32.91,0,2024,4,21,3,0.0002147527811709,200.751,0.0053410568123175,0.5428999999999998,0,1,0.80062777,Prioritize Shipment
5,1,2,4,13072.55,149.63,4.43,3.6,2,0.797,73.88,1,2024,9,11,6,0.0003388780306826,265.968,0.011446121835449,0.7307999999999999,0,1,0.9601001,Prioritize Shipment
3,1,1,0,13741.99,390.24,1.49,7.5,4,0.999,39.87,1,2024,7,15,1,0.000108426799903,299.025,0.0283976338215935,0.0075,1,1,0.8386193,Prioritize Shipment
7,3,0,3,7771.99,114.51,2.78,4.9,2,0.637,4.1,1,2025,7,3,4,0.0003576947474199,20.09,0.0147336782471413,1.7787000000000002,0,1,0.90533346,Prioritize Shipment
0,8,3,3,13405.08,494.07,2.55,9.4,4,0.615,81.56,1,2024,10,12,2,0.0001902263917858,766.6640000000001,0.0368569228978864,3.619,1,1,0.90240586,Prioritize Shipment
0,3,2,0,7251.17,491.87,2.61,7.0,2,0.947,46.91,1,2024,4,10,6,0.0003599419128223,328.37,0.0678331910574431,0.3710000000000003,1,1,0.9660601,Prioritize Shipment
5,5,3,4,9067.08,360.51,1.67,10.0,2,0.917,151.27,1,2025,7,7,1,0.0001841827799026,1512.7,0.039760319750129,0.8299999999999996,1,1,0.9673267,Prioritize Shipment
4,8,0,1,12427.71,20.64,2.24,7.0,2,0.759,7.05,1,2024,8,30,0,0.0001802423777188,49.35,0.0016608047661234,1.6869999999999998,1,1,0.9098983,Prioritize Shipment
1,6,0,4,11664.91,234.39,4.08,9.0,4,0.854,3.66,1,2025,5,7,6,0.0003497669506237,32.94,0.0200935969501693,1.314,1,1,0.83116317,Prioritize Shipment
2,4,2,0,14649.86,268.24,3.59,0.8,2,0.859,72.6,1,2025,4,10,4,0.0002450535363477,58.08,0.0183100725877243,0.1128,0,1,0.94695336,Prioritize Shipment
5,7,1,0,7986.36,239.01,4.2,6.0,4,0.684,22.52,1,2024,10,19,2,0.0005258966537947,135.12,0.0299272760055895,1.896,0,1,0.82706827,Prioritize Shipment
1,7,2,0,14458.4,481.07,1.38,0.1,2,0.975,68.95,1,2024,7,13,2,9.544624578099928e-05,6.8950000000000005,0.0332726996071487,0.0025,0,1,0.93074405,Prioritize Shipment
1,8,0,2,12621.71,254.97,3.54,1.7,2,0.68,4.71,1,2024,10,30,6,0.0002804691281926,8.007,0.0202009078009239,0.5439999999999999,0,1,0.87600005,Prioritize Shipment
0,5,1,0,8463.79,141.99,3.02,7.8,2,0.804,65.13,1,2024,11,17,3,0.0003568141459086,508.014,0.0167761723766775,1.5287999999999995,1,1,0.9691233,Prioritize Shipment
2,3,1,4,4559.04,499.4,1.29,8.9,4,0.949,13.7,1,2025,8,21,4,0.0002829543061697,121.93,0.1095406050396574,0.4539000000000004,1,1,0.8076164,Prioritize Shipment
3,1,3,0,9369.95,78.11,1.97,1.7,2,0.88,113.8,1,2024,6,10,1,0.000210246586161,193.46,0.008336223779209,0.204,0,1,0.96114045,Prioritize Shipment
1,8,3,0,11488.77,158.91,3.11,9.4,2,0.826,187.31,1,2024,7,9,5,0.0002706991261901,1760.7140000000002,0.0138317678916019,1.6356000000000004,1,1,0.9678632,Prioritize Shipment
3,6,1,4,1090.57,472.41,3.8,8.3,4,0.674,2.77,1,2025,11,22,2,0.0034844164060995,22.991000000000003,0.4331771458961828,2.7058,1,1,0.8685457,Prioritize Shipment
5,1,0,3,7375.52,454.89,2.36,4.7,2,0.776,3.58,1,2024,5,2,4,0.0003199774388788,16.826,0.0616756513439052,1.0528,0,1,0.9031462,Prioritize Shipment
5,0,0,3,7365.34,474.24,3.07,3.9,2,0.641,3.91,1,2025,8,15,0,0.0004168171462552,15.249,0.0643880662671377,1.4001,0,1,0.8950148,Prioritize Shipment
6,2,0,3,9429.83,269.23,2.63,8.3,4,0.784,2.16,0,2024,3,24,3,0.0002789021647261,17.928000000000004,0.0285508858590239,1.7928,1,1,0.83629787,Prioritize Shipment
7,6,1,3,9708.86,8.08,2.81,4.0,2,0.693,65.2,1,2025,3,5,6,0.0002894263590164,260.8,0.0008322295305525,1.2280000000000002,0,1,0.96292245,Prioritize Shipment
7,2,1,2,7795.48,366.85,3.11,0.1,2,0.641,42.23,1,2025,6,19,4,0.0003989491346267,4.223,0.0470593215555681,0.0359,0,1,0.93063986,Prioritize Shipment
3,4,3,4,8993.75,488.75,2.44,9.3,4,0.913,54.03,1,2024,9,28,2,0.000271299513551,502.479,0.0543432939541348,0.8090999999999997,1,1,0.8875082,Prioritize Shipment
4,7,2,3,14151.24,258.07,1.21,8.4,4,0.567,36.32,1,2024,11,19,5,8.550487448449747e-05,305.088,0.0182365644282762,3.6372,1,1,0.89492434,Prioritize Shipment
1,7,1,4,13627.58,186.12,2.41,4.5,2,0.756,91.73,1,2025,4,14,1,0.0001768472465397,412.785,0.0136575973136829,1.098,0,1,0.9667594,Prioritize Shipment
7,2,1,3,10403.6,391.11,2.73,4.9,2,0.719,71.01,1,2024,8,6,5,0.0002624091660579,347.94900000000007,0.0375937175593063,1.3769000000000002,0,1,0.96886295,Prioritize Shipment
4,7,3,0,12750.69,288.67,1.79,8.4,4,0.791,75.56,1,2024,5,15,6,0.0001403845595806,634.7040000000001,0.0226395591140557,1.7555999999999998,1,1,0.8990851,Prioritize Shipment
3,2,1,0,12309.79,405.18,3.89,8.3,4,0.654,36.66,1,2024,3,11,1,0.0003160086402773,304.278,0.0329152650045207,2.8718,1,1,0.9003934,Prioritize Shipment
1,4,0,1,12150.47,256.04,1.84,6.6,4,0.615,2.36,1,2025,12,21,3,0.0001514344712591,15.576,0.0210724358810811,2.541,0,1,0.8443176,Prioritize Shipment
6,5,3,2,14862.32,70.59,4.13,1.5,2,0.671,176.04,1,2024,1,9,5,0.0002778839373664,264.06,0.004749594948837,0.4934999999999999,0,1,0.9600081,Prioritize Shipment
3,6,0,2,6482.96,285.03,2.99,8.3,2,0.511,4.41,1,2025,11,14,0,0.000461209077335,36.603,0.0439660278638152,4.0587,1,1,0.93202335,Prioritize Shipment
3,0,3,3,5894.26,434.12,3.33,2.9,2,0.636,75.93,1,2025,7,21,1,0.0005649564152243,220.197,0.0736513150081604,1.0556,0,1,0.96542394,Prioritize Shipment
5,8,1,0,11757.99,291.97,3.0,8.1,2,0.931,91.43,1,2024,11,2,2,0.0002551456498942,740.583,0.0248316251332072,0.5588999999999996,1,1,0.9689891,Prioritize Shipment
0,5,2,0,5441.65,359.29,1.37,9.2,4,0.518,13.66,1,2025,11,10,1,0.0002517618736963,125.672,0.0660259296353128,4.434399999999999,1,1,0.8636538,Prioritize Shipment
0,2,3,2,13995.98,186.65,3.66,4.3,2,0.718,188.68,1,2024,4,16,5,0.0002615036603367,811.324,0.0133359721862992,1.2126,0,1,0.96444917,Prioritize Shipment
2,8,0,2,12946.98,47.13,2.87,3.7,2,0.559,6.29,1,2024,5,17,0,0.0002216733168661,23.273,0.0036402311581542,1.6317,0,1,0.88834065,Prioritize Shipment
6,5,2,1,6720.41,229.49,3.34,8.0,4,0.708,17.31,1,2024,9,27,0,0.0004969934870045,138.48,0.0341482141714568,2.3360000000000003,1,1,0.8671715,Prioritize Shipment
4,6,3,2,1995.3,122.75,1.77,6.2,2,0.868,28.41,1,2025,7,20,3,0.0008870846489249,176.142,0.0615195709918308,0.8184,0,1,0.9211347,Prioritize Shipment
2,6,2,4,7826.16,479.11,1.72,8.4,2,0.972,53.31,1,2024,10,5,2,0.0002197757265376,447.804,0.0612190397334069,0.2352000000000002,1,1,0.96228415,Prioritize Shipment
2,5,1,2,12483.63,124.57,1.85,2.0,2,0.855,76.67,1,2024,10,15,5,0.0001481940749605,153.34,0.0099786680636962,0.29,0,1,0.9554976,Prioritize Shipment
1,6,1,4,5140.72,174.68,4.41,9.3,2,0.711,41.39,1,2025,9,11,4,0.000857856487029,384.927,0.0339796759986927,2.6877000000000004,1,1,0.9623528,Prioritize Shipment
4,6,1,3,5130.05,344.2,3.82,7.5,2,0.612,39.94,1,2024,9,27,0,0.0007446321185953,299.54999999999995,0.0670948626231713,2.91,1,1,0.9664641,Prioritize Shipment
4,8,2,1,11409.43,161.05,3.05,3.6,2,0.661,64.07,1,2024,2,15,4,0.000267322732161,230.652,0.0141155167260765,1.2204,0,1,0.9616097,Prioritize Shipment
5,3,1,2,9464.16,338.76,3.32,6.0,4,0.734,26.13,1,2024,4,24,6,0.0003507971124748,156.78,0.0357939848861388,1.596,0,1,0.8010593,Prioritize Shipment
1,5,2,0,11423.98,310.5,3.43,3.1,2,0.574,62.72,1,2024,2,10,2,0.0003002456236793,194.432,0.0271796694321943,1.3206000000000002,0,1,0.9612901,Prioritize Shipment
5,5,1,4,6651.22,107.56,3.96,9.9,2,0.825,55.56,1,2025,11,13,4,0.0005953794942882,550.0440000000001,0.016171469294355,1.7325000000000006,1,1,0.9692992,Prioritize Shipment
4,7,2,0,2222.86,477.38,2.93,5.5,2,0.721,12.62,1,2024,8,30,0,0.0013181216990723,69.41,0.214759364062514,1.5345000000000002,0,1,0.9030721,Prioritize Shipment
0,7,0,2,2204.13,400.27,2.87,1.7,2,0.762,1.68,1,2024,6,15,2,0.0013021010557453,2.856,0.18159999637045,0.4045999999999999,0,1,0.86967963,Prioritize Shipment
0,6,0,4,4642.83,389.09,2.6,9.0,2,0.629,2.71,1,2025,2,25,5,0.0005600032738652,24.39,0.0838044899339411,3.339,1,1,0.93248886,Prioritize Shipment
6,4,3,1,13421.58,351.08,1.64,0.7,2,0.526,153.96,1,2025,1,26,3,0.0001221912770329,107.772,0.0261578741102016,0.3318,0,1,0.95093215,Prioritize Shipment
7,3,0,1,1570.05,165.36,2.17,7.4,4,0.793,0.5,1,2024,8,15,4,0.0013821215884844,3.7,0.1053214865768606,1.5317999999999998,1,1,0.8120713,Prioritize Shipment
0,8,3,4,10588.36,147.66,3.49,2.1,2,0.544,130.6,1,2024,8,21,6,0.0003296072290704,274.26,0.0139455024196381,0.9576,0,1,0.9657353,Prioritize Shipment
2,8,3,4,13566.79,493.7,4.0,8.2,2,0.659,212.15,1,2024,7,16,5,0.0002948376144983,1739.63,0.0363903325694582,2.7962,1,1,0.9633718,Prioritize Shipment
3,4,1,2,13408.82,457.63,2.26,6.9,2,0.615,100.41,1,2024,3,12,5,0.0001685457780774,692.8290000000001,0.0341290285051182,2.6565000000000003,0,1,0.9688523,Prioritize Shipment
1,2,3,1,7107.02,79.02,2.01,5.0,4,0.986,37.44,1,2024,10,12,2,0.0002828189592825,187.2,0.0111185841604498,0.07,0,1,0.81483674,Prioritize Shipment
6,2,0,1,4522.03,284.57,1.98,5.5,4,0.534,0.98,1,2025,10,18,2,0.0004378564494264,5.39,0.0629297019259049,2.563,0,1,0.827059,Prioritize Shipment
0,7,1,4,7223.63,237.74,3.22,3.9,2,0.861,48.31,1,2025,2,13,4,0.0004457592650786,188.409,0.0329114309564581,0.5421,0,1,0.9606083,Prioritize Shipment
4,0,3,0,8963.01,290.08,2.94,4.1,4,0.702,44.53,1,2025,7,3,4,0.0003280148075255,182.573,0.0323641276758588,1.2218,0,1,0.8122536,Prioritize Shipment
7,7,3,0,1627.15,444.61,3.15,0.3,2,0.513,17.77,1,2024,12,5,4,0.00193590019359,5.331,0.2732446301816059,0.1460999999999999,0,1,0.8441202,Prioritize Shipment
7,6,3,0,14628.72,285.08,2.18,0.6,2,0.801,167.07,1,2024,1,29,1,0.000149021923996,100.242,0.0194876927031209,0.1193999999999999,0,1,0.9476194,Prioritize Shipment
6,8,3,1,14800.06,316.23,1.32,8.6,2,0.645,234.84,1,2024,4,28,3,8.918882761286104e-05,2019.624,0.0213668052697083,3.053,1,1,0.9644162,Prioritize Shipment
7,0,0,0,10623.34,259.86,1.32,9.6,4,0.716,2.34,1,2024,9,24,5,0.0001242547070883,22.464,0.0244612334727119,2.7264000000000004,1,1,0.86691576,Prioritize Shipment
2,3,2,2,12300.03,246.51,2.25,9.4,4,0.743,32.14,1,2024,9,28,2,0.0001829263831063,302.11600000000004,0.0200414145331352,2.4158,1,1,0.8865558,Prioritize Shipment
6,1,1,2,13708.44,252.56,2.69,7.7,2,0.823,104.15,1,2025,9,2,5,0.0001962294761475,801.955,0.0184236864296739,1.3629000000000004,1,1,0.96708804,Prioritize Shipment
5,7,3,4,12426.79,162.08,2.89,3.8,4,0.593,61.34,0,2025,3,20,4,0.0002325620695288,233.092,0.0130427890066541,1.5466,0,1,0.80761105,Prioritize Shipment
3,4,0,1,11022.93,232.53,2.1,1.9,2,0.626,4.85,1,2024,11,17,3,0.0001905119600686,9.214999999999998,0.0210951171784634,0.7106,0,1,0.87596136,Prioritize Shipment
2,6,1,1,14024.56,433.98,2.28,8.9,4,0.997,42.61,1,2025,6,7,2,0.0001625719452161,379.229,0.0309442863091605,0.0267,1,1,0.84540254,Prioritize Shipment
5,2,3,4,14815.5,57.87,3.64,4.6,4,0.985,76.23,1,2024,2,15,4,0.0002456886369005,350.658,0.003906044345449,0.069,0,1,0.8365425,Prioritize Shipment
0,7,1,2,12655.77,264.82,2.56,5.3,2,0.909,89.58,1,2025,12,4,4,0.0002022792765671,474.774,0.0209248429767607,0.4822999999999998,0,1,0.96824497,Prioritize Shipment
