Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Day,DayOfWeek
6,5,3,1,8040.99,264.8,1.2,4.5,3,0.598,16.27,1,2024,9,27,0
4,3,3,2,8427.3,167.89,3.7,3.6,2,0.758,110.18,1,2024,2,14,6
7,4,0,2,3180.39,260.14,4.45,5.0,2,0.955,1.85,1,2025,4,15,5
2,0,1,3,14558.98,99.58,3.87,8.7,1,0.522,21.27,0,2025,7,3,4
2,4,2,0,11739.43,402.78,2.72,7.8,3,0.883,11.65,0,2024,5,7,5
3,1,2,2,14122.73,93.7,4.18,0.8,2,0.786,70.01,1,2025,1,22,6
2,7,1,4,13475.0,43.4,2.55,8.9,2,0.713,107.82,1,2024,3,21,4
6,6,2,0,9169.55,218.69,2.93,4.7,4,0.872,19.8,1,2025,7,19,2
7,4,0,3,13867.18,329.5,2.77,7.4,3,0.983,1.65,1,2024,10,27,3
5,5,1,2,1783.14,219.42,2.68,1.4,3,0.615,0.74,0,2025,10,5,3
1,4,3,4,3341.75,139.1,3.76,6.7,4,0.572,18.83,0,2025,9,25,4
5,7,2,4,1155.8,279.53,2.94,2.4,3,0.956,1.32,0,2025,1,5,3
0,6,2,4,5217.29,174.15,2.25,4.4,1,0.834,5.57,0,2025,8,14,4
6,0,3,1,6135.82,466.5,2.05,0.2,1,0.719,12.92,0,2024,7,15,1
3,8,2,2,4434.56,461.4,1.32,1.5,2,0.787,23.3,1,2025,12,22,1
4,3,2,0,12516.69,251.68,3.12,0.9,3,0.873,9.0,0,2024,3,12,5
4,5,2,4,5672.92,164.61,1.96,2.4,4,0.887,11.04,0,2024,2,16,0
6,6,1,4,4573.55,368.83,1.69,1.0,0,0.96,3.09,0,2025,11,8,2
0,5,3,1,8369.09,19.32,3.36,6.9,4,0.713,47.52,1,2024,8,21,6
4,8,0,0,2543.4,237.91,3.45,0.3,1,0.647,0.85,0,2024,10,23,6
1,4,0,0,12131.86,168.83,3.68,6.2,0,0.82,0.5,0,2024,3,22,0
4,7,3,0,1580.98,460.35,2.86,1.4,3,0.708,3.32,1,2024,8,26,1
2,8,1,1,14809.86,6.99,4.15,9.5,1,0.797,23.13,0,2024,4,13,2
6,0,3,4,11697.55,276.85,4.29,9.3,1,0.71,36.52,1,2025,1,24,0
0,5,3,3,3381.38,370.59,3.86,2.3,3,0.576,6.46,0,2024,10,11,0
7,3,3,4,580.07,243.02,3.3,6.1,2,0.735,8.4,1,2025,4,9,6
6,4,1,2,12324.19,43.62,2.2,0.3,3,0.845,10.99,0,2025,10,12,3
1,4,3,1,10749.43,486.26,4.44,9.3,4,0.9,66.01,1,2025,1,8,6
1,2,1,0,11070.6,259.49,2.1,5.2,4,0.747,30.22,1,2024,6,15,2
5,0,0,3,11683.42,307.48,1.87,0.4,3,0.583,1.23,0,2025,1,14,5
1,5,3,1,1573.65,119.07,2.66,3.4,4,0.707,7.76,1,2024,12,29,3
7,5,2,1,5697.75,242.27,1.39,0.8,1,0.893,4.7,0,2024,8,2,0
7,0,0,3,2180.1,215.15,4.43,3.9,2,0.706,0.8,1,2025,11,17,1
0,8,3,2,13015.0,38.37,3.14,6.7,4,0.848,71.68,1,2024,9,30,1
1,3,3,3,9537.82,53.97,3.04,4.7,2,0.754,130.77,1,2025,12,19,0
5,7,3,2,5298.02,418.9,3.36,3.8,1,0.621,13.62,1,2025,11,30,3
5,3,3,1,1421.6,120.67,2.84,1.2,3,0.898,2.51,0,2025,10,25,2
5,2,1,2,5009.24,98.28,1.31,2.4,2,0.542,31.75,1,2024,3,14,4
6,3,1,2,5215.16,252.95,3.22,1.0,0,0.762,3.97,1,2025,9,15,1
0,2,1,0,11079.29,384.6,3.56,8.1,1,0.604,16.0,0,2025,10,12,3
2,0,2,4,9744.58,31.91,2.58,1.4,0,0.534,6.24,0,2024,6,24,1
0,4,0,4,13364.58,288.83,3.7,6.0,1,0.751,1.59,1,2025,6,30,1
0,2,0,1,7347.12,60.49,1.95,3.4,2,0.75,3.66,1,2024,9,7,2
4,8,0,1,2234.12,19.19,1.93,2.3,3,0.853,0.5,1,2024,6,16,3
3,6,1,4,10842.05,27.32,1.73,6.4,4,0.872,29.43,1,2025,4,18,0
0,8,1,3,11531.38,417.25,2.43,4.6,2,0.864,78.49,1,2025,1,23,4
2,8,0,0,8638.52,59.87,4.0,4.0,1,0.705,1.94,1,2024,10,3,4
3,8,0,4,11679.02,23.53,3.93,5.9,2,0.816,6.92,1,2025,10,17,0
1,2,3,0,7660.04,219.51,2.46,4.9,3,0.788,15.17,1,2025,12,5,0
5,4,1,0,8079.63,422.15,3.14,3.0,2,0.711,50.51,1,2025,7,24,4
5,3,0,4,6699.34,131.94,3.58,5.6,2,0.799,3.61,1,2024,8,12,1
0,1,0,1,868.58,211.43,2.0,6.7,2,0.974,0.93,1,2025,12,2,5
3,5,2,3,2064.43,20.92,1.75,0.3,0,0.596,0.99,0,2024,11,28,4
2,7,0,1,955.72,225.09,4.41,4.7,1,0.953,0.6,0,2024,2,27,5
4,0,3,4,9727.95,289.23,3.24,0.6,0,0.527,13.93,1,2024,8,22,4
4,6,0,4,5058.16,285.88,4.44,1.9,4,0.654,0.78,0,2024,2,2,0
4,3,3,4,7874.28,166.88,2.31,5.6,3,0.644,17.18,0,2024,11,19,5
3,1,1,4,13659.71,158.45,3.52,8.7,2,0.813,108.49,1,2025,2,14,0
2,5,2,3,4114.74,54.21,1.93,8.8,0,0.566,3.39,1,2024,10,1,5
5,2,3,1,6450.55,184.03,2.06,0.7,0,0.941,9.61,0,2024,3,8,0
5,3,3,0,11455.49,50.65,2.89,4.2,1,0.914,28.85,0,2024,8,4,3
2,7,0,2,3817.57,383.53,2.25,5.8,2,0.826,3.01,1,2025,8,3,3
6,5,2,0,1616.21,483.17,1.75,1.5,3,0.729,1.59,0,2024,11,18,1
2,8,0,4,4701.4,485.07,2.07,7.7,1,0.966,0.82,1,2024,8,5,1
1,6,0,4,2837.71,432.67,1.32,7.4,0,0.915,0.5,1,2025,11,2,3
0,2,2,3,13980.62,300.8,3.52,9.0,0,0.75,12.52,1,2025,5,26,1
3,2,0,4,12217.75,350.73,2.82,0.1,3,0.851,0.61,0,2025,2,9,3
0,2,0,4,9684.35,143.32,1.51,2.2,0,0.783,0.7,0,2025,10,20,1
7,2,0,2,13136.18,315.75,1.77,8.3,1,0.794,0.99,1,2025,4,14,1
6,4,1,0,12153.25,228.37,1.54,6.7,3,0.665,14.04,1,2024,5,26,3
7,3,3,1,3205.27,241.53,3.22,8.9,1,0.731,9.81,1,2024,9,28,2
0,4,3,4,13442.11,379.13,1.51,0.6,3,0.539,24.04,0,2024,5,22,6
5,0,0,0,8320.46,141.68,3.69,6.0,1,0.679,2.04,1,2024,9,9,1
7,7,1,2,12207.88,159.7,1.27,5.7,0,0.848,11.27,0,2025,7,28,1
7,7,2,3,13493.32,462.4,2.02,0.4,1,0.977,12.3,0,2025,7,5,2
4,6,2,1,5111.05,29.06,4.14,5.1,3,0.982,4.12,1,2024,9,26,4
3,7,2,3,2095.75,243.33,3.57,6.1,0,0.778,2.08,1,2025,8,21,4
5,8,0,2,3805.06,456.49,1.44,1.9,0,0.803,0.5,0,2025,3,14,0
3,4,0,0,6693.06,305.57,3.91,2.7,4,0.593,1.46,1,2025,8,20,6
3,4,3,1,12361.21,273.66,2.83,6.4,2,0.848,182.19,1,2025,2,12,6
5,1,3,1,12980.59,125.62,3.99,4.7,2,0.535,177.59,1,2025,1,5,3
7,7,2,1,600.81,172.29,3.18,8.6,1,0.642,0.5,0,2024,8,12,1
3,7,2,3,7905.84,426.17,3.45,3.4,1,0.834,8.15,1,2024,5,21,5
4,2,2,1,6552.46,280.05,4.48,2.7,2,0.655,35.77,1,2025,6,5,4
7,3,0,0,3720.56,257.86,1.97,9.8,0,0.525,0.57,0,2025,5,20,5
2,1,2,2,2238.05,50.69,3.26,9.1,2,0.916,15.06,1,2024,4,3,6
1,4,2,2,5395.42,9.0,2.72,0.3,3,0.655,4.29,0,2024,2,18,3
6,6,3,1,14172.19,481.88,1.33,7.7,1,0.532,40.3,1,2024,4,22,1
4,8,1,4,5186.44,189.12,1.25,1.1,4,0.537,10.98,1,2024,6,5,6
0,6,0,4,8022.46,302.0,1.59,0.3,2,0.626,3.33,1,2025,10,4,2
4,5,2,0,10693.77,40.78,3.34,2.7,3,0.589,8.41,0,2024,6,12,6
3,0,2,3,5772.63,341.87,3.07,2.7,0,0.887,4.34,1,2025,11,27,4
7,3,1,1,14590.84,466.35,3.03,8.2,3,0.661,17.28,0,2025,3,8,2
0,2,1,0,14455.49,288.26,1.31,7.1,0,0.902,14.49,1,2025,9,2,5
0,2,3,2,4150.84,63.93,2.75,9.8,4,0.587,25.66,1,2024,3,6,6
0,1,2,0,7710.1,291.28,4.25,7.1,1,0.746,9.27,0,2025,1,29,6
2,7,2,1,4862.74,383.41,2.51,4.2,3,0.844,4.8,0,2025,1,25,2
7,0,2,4,4630.19,203.8,3.26,7.0,2,0.826,29.71,1,2025,9,2,5
7,7,0,0,1034.86,440.04,3.77,10.0,4,0.801,0.99,1,2025,4,24,4
3,1,1,4,9338.68,324.69,3.79,7.1,1,0.962,13.45,0,2025,6,25,6
4,0,0,3,7788.85,449.73,2.91,7.6,1,0.614,0.5,1,2024,9,14,2
1,8,3,2,1246.44,312.13,4.03,9.4,3,0.747,3.64,0,2025,7,20,3
4,6,2,4,4540.37,66.51,2.49,1.1,4,0.942,9.02,0,2024,1,12,0
2,3,0,0,13669.86,155.54,4.13,7.0,4,0.539,3.36,0,2025,11,27,4
4,6,2,2,3973.65,101.7,1.99,8.5,3,0.528,3.09,1,2024,4,27,2
4,3,0,2,2600.98,454.5,2.12,9.5,2,0.617,1.27,1,2025,11,29,2
3,8,0,4,7597.07,380.44,1.38,2.1,3,0.817,0.5,1,2025,7,3,4
1,8,1,1,14791.93,338.52,3.83,5.0,1,0.63,18.87,1,2024,9,30,1
5,4,1,4,4009.8,151.18,2.58,6.8,4,0.595,12.07,1,2025,10,18,2
6,0,2,2,10245.97,92.84,1.96,2.5,4,0.729,20.55,1,2024,12,14,2
5,1,1,1,11543.48,378.47,1.96,6.0,1,0.807,15.62,0,2024,4,24,6
5,7,0,1,3945.74,237.6,4.17,2.6,3,0.624,0.55,1,2024,10,27,3
6,6,1,4,11059.14,113.67,3.95,3.3,3,0.65,11.04,0,2025,3,21,0
0,1,0,2,5832.86,308.69,3.03,4.4,2,0.807,1.3,1,2024,6,10,1
7,0,2,3,9668.43,21.13,3.23,5.3,0,0.973,6.95,0,2025,4,9,6
0,5,2,2,9686.18,163.76,2.77,4.5,1,0.837,9.89,0,2024,1,4,4
3,0,3,1,8268.73,234.81,2.49,4.9,3,0.891,17.38,0,2024,9,26,4
3,5,0,1,1809.2,74.83,4.22,3.0,2,0.683,0.72,1,2025,5,27,5
5,4,3,1,12611.89,492.34,1.61,1.6,2,0.636,151.28,1,2024,7,1,1
5,5,2,3,5151.31,105.34,2.58,0.5,4,0.727,8.38,0,2025,6,3,5
3,8,3,2,3204.52,66.05,2.34,2.0,0,0.904,4.73,0,2024,4,18,4
7,6,2,0,1091.24,102.56,2.84,5.8,3,0.728,1.56,0,2025,10,2,4
2,4,1,1,9067.95,384.76,2.71,7.9,1,0.923,13.86,0,2024,11,1,0
1,8,1,1,10324.68,213.33,2.91,1.7,2,0.994,62.57,1,2025,10,16,4
5,1,2,3,740.52,283.14,1.66,1.1,4,0.536,0.73,1,2025,6,3,5
7,3,3,0,7925.35,11.48,2.89,7.5,2,0.523,121.68,1,2025,9,15,1
5,3,2,0,3784.19,18.18,2.0,3.1,0,0.575,2.96,1,2024,7,22,1
2,4,2,0,9855.01,223.47,1.81,9.5,0,0.692,8.6,1,2024,6,5,6
7,3,2,0,3028.31,408.51,1.41,7.1,3,0.566,1.92,0,2025,1,17,0
3,5,2,3,10518.6,442.73,3.72,3.3,1,0.935,11.4,0,2024,6,14,0
1,7,3,4,6107.66,44.27,2.61,2.9,1,0.512,14.27,1,2025,7,6,3
2,6,2,4,14082.58,269.64,3.27,5.2,4,0.658,31.91,1,2025,6,27,0
6,4,1,1,2494.05,456.7,3.6,0.8,2,0.592,14.44,1,2024,1,1,1
2,8,1,2,5445.46,194.6,3.44,1.2,1,0.966,6.78,0,2025,9,5,0
4,5,0,2,2145.37,414.95,2.75,1.8,0,0.835,0.5,1,2024,11,27,6
5,3,1,0,13908.06,67.71,2.48,7.7,2,0.956,107.19,1,2025,5,15,4
6,8,1,0,13221.42,467.76,2.44,5.1,1,0.986,18.1,0,2024,1,20,2
5,5,1,2,4240.15,375.96,3.31,0.1,1,0.749,4.11,0,2024,4,24,6
0,3,2,4,10069.77,470.73,2.83,6.7,0,0.617,8.42,1,2025,1,6,1
0,6,0,2,12349.72,338.63,4.0,4.2,1,0.597,1.07,0,2024,11,10,3
6,3,0,0,8550.41,182.34,4.09,5.1,2,0.611,3.97,1,2024,9,2,1
2,8,0,3,8179.93,469.15,1.76,2.1,3,0.854,0.57,0,2024,2,29,4
4,5,0,0,4006.86,138.51,1.65,5.5,3,0.52,0.67,0,2024,9,3,5
4,5,3,1,1849.99,166.75,3.28,9.8,4,0.526,12.16,1,2025,8,3,3
2,7,2,2,13509.63,350.7,2.19,0.7,3,0.804,10.74,0,2024,3,21,4
2,8,1,3,13556.06,382.89,1.26,2.8,2,0.821,85.86,1,2024,3,28,4
2,5,3,3,9679.97,464.77,4.13,2.4,0,0.833,14.58,0,2025,5,12,1
3,2,0,1,5415.93,103.2,1.95,2.5,0,0.686,0.5,1,2024,3,11,1
4,2,3,0,5563.54,399.2,4.27,3.8,0,0.903,8.6,0,2025,6,29,3
1,7,0,0,11026.36,369.53,3.57,8.2,1,0.767,1.11,1,2024,5,8,6
7,3,3,4,13508.1,32.83,3.72,9.1,0,0.553,27.15,1,2024,5,11,2
6,6,3,4,13362.75,194.22,1.86,2.0,3,0.899,24.89,0,2025,11,6,4
2,0,1,2,11808.2,142.1,1.97,5.4,4,0.977,30.18,1,2025,5,1,4
1,3,3,2,9809.46,152.94,2.92,6.4,2,0.53,143.34,1,2025,7,16,6
4,2,1,3,1720.03,491.49,1.77,5.2,0,0.696,1.14,1,2024,6,18,5
4,8,2,0,2843.62,321.75,2.21,4.3,0,0.744,2.65,0,2024,9,28,2
7,5,0,2,13529.04,359.12,2.26,1.9,1,0.573,0.6,1,2025,6,24,5
2,5,1,3,9293.22,488.33,1.73,4.9,3,0.934,9.75,0,2025,9,13,2
0,4,0,3,633.36,189.22,1.88,4.0,2,0.642,0.5,1,2025,3,9,3
6,3,2,3,1971.34,401.12,3.8,8.0,2,0.892,13.64,1,2024,8,4,3
0,6,1,1,10120.78,217.83,1.75,7.6,4,0.835,29.43,1,2025,7,6,3
3,5,0,4,573.39,434.9,1.29,1.3,2,0.799,0.5,1,2025,12,7,3
3,8,0,1,2831.72,91.15,3.28,0.9,0,0.596,0.5,1,2024,7,24,6
7,7,2,0,8456.64,473.9,4.42,9.1,0,0.61,6.39,1,2025,12,31,6
2,0,1,3,10532.48,110.17,2.29,5.4,3,0.524,11.25,1,2024,11,15,0
1,3,0,3,9953.44,163.78,1.59,8.6,3,0.62,1.15,1,2025,2,12,6
1,4,3,0,3751.9,378.34,3.08,0.6,3,0.673,5.65,0,2025,11,18,5
7,1,0,2,10826.6,197.48,4.19,5.3,4,0.917,1.52,1,2025,10,27,1
3,4,3,1,3940.11,304.5,3.79,5.4,4,0.683,20.97,0,2025,1,17,0
4,2,3,0,5218.3,222.84,3.25,8.6,3,0.877,12.61,1,2025,3,24,1
2,3,0,2,11324.13,371.44,2.24,1.0,1,0.72,0.5,0,2025,6,13,0
6,4,1,0,9919.68,114.94,2.99,2.4,1,0.892,11.29,1,2025,4,7,1
6,0,2,2,12813.74,30.17,1.5,4.1,1,0.988,12.85,0,2024,5,3,0
5,5,2,2,10035.39,150.66,3.44,8.7,3,0.62,10.96,0,2024,9,10,5
7,1,0,0,8740.47,237.68,3.59,9.4,4,0.931,1.36,1,2024,8,18,3
6,4,0,4,1858.28,84.84,4.38,9.9,2,0.811,1.43,1,2024,3,6,6
4,0,3,0,5831.88,178.04,2.06,9.6,0,0.909,11.97,0,2024,12,12,4
4,2,0,0,4345.43,200.59,1.26,0.1,4,0.826,1.33,0,2024,1,22,1
0,6,3,0,4037.85,29.64,3.0,0.5,0,0.712,5.35,0,2025,8,25,1
6,1,3,4,14608.65,292.07,3.53,1.5,2,0.614,174.33,1,2025,7,21,1
4,7,3,3,6199.92,442.29,3.81,3.5,2,0.535,80.05,1,2024,8,23,0
0,1,1,4,13434.68,76.72,1.84,8.3,4,0.768,38.63,1,2025,8,25,1
6,6,0,2,9651.51,299.31,2.06,8.9,0,0.995,1.03,0,2024,8,13,5
5,1,3,0,12024.76,332.7,2.89,1.9,0,0.869,17.37,0,2024,1,8,1
7,6,2,3,7788.24,210.25,2.29,6.2,0,0.664,5.96,1,2024,3,13,6
1,6,1,1,8865.11,350.85,4.04,9.2,1,0.914,13.98,0,2025,12,25,4
2,4,0,3,7641.51,205.96,2.76,4.6,1,0.884,1.11,0,2025,10,8,6
7,1,0,4,3331.02,252.81,3.84,1.0,2,0.641,1.13,1,2024,3,1,0
6,6,0,3,10975.56,4.67,3.12,4.6,3,0.507,0.5,1,2024,8,22,4
6,3,0,0,4571.2,346.17,3.75,3.8,0,0.559,0.54,0,2024,3,10,3
7,5,3,1,852.58,331.01,2.3,5.8,0,0.939,2.2,0,2024,2,2,0
5,3,1,2,9859.35,20.16,3.94,4.4,4,0.918,24.71,1,2024,12,4,6
3,6,0,1,3068.1,184.76,2.11,0.2,2,0.648,0.89,1,2024,3,13,6
6,6,1,3,14136.65,489.54,3.0,9.9,0,0.643,14.43,1,2025,6,10,5
4,0,3,0,14331.96,210.95,1.91,5.4,0,0.896,25.6,0,2024,8,31,2
3,4,3,0,13765.53,251.47,2.77,4.7,1,0.969,36.08,0,2024,10,12,2
0,7,2,0,5867.3,455.06,2.25,9.5,0,0.89,4.54,1,2025,11,16,3
0,6,0,3,724.12,358.91,2.08,1.6,4,0.803,0.5,1,2025,5,12,1
1,7,0,1,13960.62,291.45,4.39,1.9,2,0.621,7.54,1,2024,8,7,6
0,5,3,3,6708.67,399.1,1.73,8.1,2,0.763,104.57,1,2025,7,6,3
0,4,2,4,14516.49,432.32,3.8,2.6,0,0.617,9.89,0,2024,5,15,6
2,1,0,1,14472.49,228.99,4.45,8.0,0,0.904,0.71,0,2025,8,7,4
7,0,0,1,12868.64,238.08,1.27,2.7,0,0.693,1.01,0,2025,8,13,6
0,7,0,3,4769.51,193.64,3.51,0.3,4,0.917,1.24,1,2025,4,29,5
6,6,1,2,6083.92,483.39,2.03,5.2,3,0.691,6.53,0,2024,9,5,4
7,5,1,3,12841.48,348.89,1.33,2.0,0,0.912,10.67,0,2025,4,29,5
6,5,2,3,5095.37,42.53,2.53,7.6,3,0.667,4.86,0,2025,2,20,4
7,0,0,1,2957.64,431.62,4.29,6.4,2,0.72,1.5,1,2024,7,13,2
6,0,2,1,8573.62,240.8,1.24,9.2,2,0.808,59.8,1,2024,4,6,2
2,8,0,2,14074.24,35.31,3.14,7.8,1,0.535,1.76,1,2024,4,9,5
6,5,3,3,10592.43,275.31,2.85,1.8,1,0.974,24.18,0,2025,11,5,6
3,8,0,3,8765.89,209.16,4.08,8.0,0,0.787,0.5,0,2025,3,17,1
3,8,0,2,1909.06,439.0,1.48,6.4,1,0.754,0.5,0,2024,12,28,2
6,6,3,2,9417.6,102.79,3.45,6.7,2,0.92,139.45,1,2025,3,9,3
3,4,3,3,14855.78,413.41,3.44,8.3,0,0.933,28.93,1,2025,2,24,1
1,7,2,2,2531.22,279.29,3.41,5.7,0,0.761,1.96,0,2025,4,23,6
0,3,0,0,8015.78,28.25,4.31,4.7,2,0.964,3.64,1,2024,2,25,3
0,6,3,4,13221.91,485.95,3.92,6.4,2,0.532,193.11,1,2025,11,20,4
7,5,1,4,11241.14,256.8,1.34,3.0,0,0.557,7.66,0,2025,10,31,0
1,8,2,3,10606.73,146.15,2.75,1.8,3,0.798,9.14,0,2025,10,23,4
5,7,2,4,10686.02,235.23,2.51,6.2,4,0.677,25.24,1,2024,4,10,6
4,2,2,0,5712.62,429.07,2.22,2.3,3,0.732,4.5,0,2024,3,3,3
5,7,2,4,4757.08,153.15,2.69,0.8,0,0.664,2.61,0,2025,2,16,3
0,4,2,0,12235.74,97.15,2.47,0.0,3,0.702,7.3,0,2024,12,13,0
3,6,1,0,12246.64,65.41,2.63,6.1,4,0.911,32.91,0,2024,4,21,3
5,1,2,4,13072.55,149.63,4.43,3.6,2,0.797,73.88,1,2024,9,11,6
3,1,1,0,13741.99,390.24,1.49,7.5,4,0.999,39.87,1,2024,7,15,1
2,6,2,3,7914.46,236.34,4.24,3.8,4,0.893,17.11,1,2024,7,13,2
7,3,0,3,7771.99,114.51,2.78,4.9,2,0.637,4.1,1,2025,7,3,4
5,2,2,4,12075.28,83.93,3.26,4.1,4,0.632,26.6,1,2025,4,4,0
6,1,0,0,9924.48,167.03,3.94,6.5,3,0.668,0.66,1,2024,5,23,4
7,6,3,3,10678.52,470.02,2.39,3.6,0,0.922,18.01,1,2025,3,8,2
7,4,0,0,12038.99,172.17,2.62,9.6,3,0.514,0.92,0,2024,7,6,2
0,8,3,3,13405.08,494.07,2.55,9.4,4,0.615,81.56,1,2024,10,12,2
6,3,1,0,5400.93,243.13,2.44,8.5,3,0.952,5.91,0,2025,4,18,0
3,7,1,1,5945.95,90.4,4.25,9.2,0,0.82,5.5,0,2024,9,12,4
4,8,3,2,1862.74,445.68,3.94,4.5,1,0.613,5.08,1,2024,3,18,1
2,8,2,1,8885.06,230.72,1.56,5.4,0,0.61,6.34,0,2025,3,29,2
4,7,2,4,1021.16,355.13,1.56,7.4,1,0.931,0.73,1,2025,7,17,4
0,3,2,0,7251.17,491.87,2.61,7.0,2,0.947,46.91,1,2024,4,10,6
5,7,1,2,8368.35,26.04,1.53,8.9,0,0.628,8.56,0,2024,2,21,6
5,0,1,0,4654.85,49.25,3.24,7.2,1,0.71,7.07,0,2025,10,29,6
5,5,3,4,9067.08,360.51,1.67,10.0,2,0.917,151.27,1,2025,7,7,1
4,8,1,1,942.25,141.63,2.92,3.5,0,0.886,0.5,0,2024,1,16,5
3,4,2,2,1041.55,92.97,1.22,8.3,3,0.907,1.09,0,2024,4,5,0
4,8,0,1,12427.71,20.64,2.24,7.0,2,0.759,7.05,1,2024,8,30,0
6,4,3,1,5722.76,11.9,3.43,6.9,1,0.956,15.58,1,2024,6,19,6
5,0,0,0,2342.38,387.47,2.8,3.3,0,0.663,0.5,1,2025,2,20,4
7,0,2,1,8072.53,68.08,4.43,7.9,0,0.578,6.35,0,2025,5,12,1
1,6,0,4,11664.91,234.39,4.08,9.0,4,0.854,3.66,1,2025,5,7,6
6,2,2,1,3629.4,303.34,2.38,2.2,1,0.77,3.39,0,2024,8,6,5
3,5,0,0,9531.91,214.75,1.35,6.3,0,0.927,1.27,1,2025,2,14,0
