Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Day,DayOfWeek,Cost_Per_KM,Risk_LeadTime,Weight_Per_KM,Risk_Reliability,High_Risk
6,2,0,4,9090.01,363.32,3.36,4.9,4,0.609,2.04,1,2025,4,4,0,0.0003696365570554928,9.996,0.03996915294922668,1.9159000000000002,0
0,8,0,4,1173.53,61.53,3.42,3.7,0,0.554,0.5,0,2025,8,26,5,0.0029142842534916023,1.85,0.05243155266588839,1.6502,0
0,4,1,2,9309.4,152.08,1.22,6.5,4,0.893,25.79,0,2024,10,11,0,0.00013105033621930523,167.635,0.016336176337895032,0.6954999999999999,0
7,5,0,0,2972.6,266.7,4.45,9.5,1,0.556,1.04,1,2024,1,7,3,0.0014970059880239522,9.88,0.08971943752943551,4.218,1
7,2,2,2,1443.25,282.64,4.1,0.4,4,0.862,2.5,1,2024,6,12,6,0.00284081067036203,1.0,0.19583578728564005,0.055200000000000006,0
6,0,1,0,14258.84,300.69,4.15,9.2,3,0.693,16.61,1,2025,12,15,1,0.00029104751859197525,152.81199999999998,0.0210879706904629,2.8244000000000002,1
3,8,0,4,14501.66,83.96,3.38,6.1,3,0.537,1.62,0,2025,3,8,2,0.00023307676500483392,9.882,0.0057896820088183,2.8242999999999996,0
4,0,2,0,12221.76,190.49,2.34,8.1,1,0.906,15.57,0,2024,12,14,2,0.00019146178619118686,126.11699999999999,0.015586134893828712,0.7613999999999997,1
1,5,2,4,4916.9,308.98,4.15,3.8,2,0.79,27.96,1,2024,10,11,0,0.0008440277410563568,106.248,0.06284040757387786,0.7979999999999998,0
2,3,1,4,1916.25,484.94,2.16,4.7,4,0.618,5.17,1,2024,6,8,2,0.00112720156555773,24.299,0.2530671885192433,1.7954,0
2,3,2,0,10421.38,364.09,3.06,8.7,3,0.947,10.49,1,2024,8,8,4,0.00029362713959187747,91.26299999999999,0.03493683178235512,0.4611000000000004,1
7,1,1,2,6882.21,461.38,1.53,4.1,4,0.523,17.32,1,2024,12,10,5,0.00022231230956335247,71.012,0.0670395120172154,1.9556999999999998,0
4,7,0,0,2269.55,381.34,4.24,5.3,1,0.601,0.5,1,2024,4,14,3,0.0018682117600405366,2.65,0.16802449824855145,2.1147,0
1,0,1,1,7680.07,296.27,1.66,0.2,4,0.876,15.87,1,2024,4,4,4,0.00021614386327207955,3.174,0.03857647130820422,0.024800000000000003,0
2,4,3,4,998.63,96.82,1.94,1.6,1,0.855,2.84,0,2025,1,24,0,0.0019426614461812682,4.544,0.09695282537075793,0.23200000000000004,0
1,6,1,3,13685.15,333.68,3.04,6.4,1,0.645,18.12,0,2024,4,9,5,0.0002221385954848869,115.96800000000002,0.02438263373072272,2.272,0
2,6,3,4,4252.31,312.07,3.72,7.2,4,0.531,25.25,1,2025,1,2,4,0.000874818627992785,181.8,0.07338834656927645,3.3768,1
1,4,2,4,10106.57,301.63,3.24,5.8,3,0.929,9.76,1,2024,12,18,6,0.0003205835412014165,56.608,0.029844942448328166,0.4117999999999997,0
6,3,2,0,5019.81,245.4,1.97,1.4,4,0.657,8.72,1,2025,9,10,6,0.00039244513238548864,12.208,0.048886312430151735,0.4801999999999999,0
6,5,3,1,8040.99,264.8,1.2,4.5,3,0.598,16.27,1,2024,9,27,0,0.0001492353553480355,73.215,0.032931268413466504,1.8090000000000002,0
4,3,3,2,8427.3,167.89,3.7,3.6,2,0.758,110.18,1,2024,2,14,6,0.00043904928031516627,396.648,0.019922157749219797,0.8712,0
7,4,0,2,3180.39,260.14,4.45,5.0,2,0.955,1.85,1,2025,4,15,5,0.0013991994692474823,9.25,0.08179499998427865,0.2250000000000002,0
2,0,1,3,14558.98,99.58,3.87,8.7,1,0.522,21.27,0,2025,7,3,4,0.00026581532497468917,185.04899999999998,0.006839764873638126,4.1586,1
2,4,2,0,11739.43,402.78,2.72,7.8,3,0.883,11.65,0,2024,5,7,5,0.00023169779111933034,90.87,0.03431001334817789,0.9126,1
3,1,2,2,14122.73,93.7,4.18,0.8,2,0.786,70.01,1,2025,1,22,6,0.00029597676936399687,56.00800000000001,0.006634694566843663,0.1712,0
2,7,1,4,13475.0,43.4,2.55,8.9,2,0.713,107.82,1,2024,3,21,4,0.00018923933209647495,959.598,0.003220779220779221,2.5543000000000005,1
6,6,2,0,9169.55,218.69,2.93,4.7,4,0.872,19.8,1,2025,7,19,2,0.0003195358550855822,93.06,0.02384958912923753,0.6016,0
7,4,0,3,13867.18,329.5,2.77,7.4,3,0.983,1.65,1,2024,10,27,3,0.00019975222071106022,12.209999999999999,0.023761139611658606,0.1258000000000001,1
5,5,1,2,1783.14,219.42,2.68,1.4,3,0.615,0.74,0,2025,10,5,3,0.001502966676761219,1.036,0.1230525926175174,0.5389999999999999,0
1,4,3,4,3341.75,139.1,3.76,6.7,4,0.572,18.83,0,2025,9,25,4,0.001125158973591681,126.16099999999999,0.041624897134734794,2.8676000000000004,0
5,7,2,4,1155.8,279.53,2.94,2.4,3,0.956,1.32,0,2025,1,5,3,0.002543692680394532,3.168,0.24184980100363385,0.1056000000000001,0
0,6,2,4,5217.29,174.15,2.25,4.4,1,0.834,5.57,0,2025,8,14,4,0.0004312583736000874,24.508000000000003,0.033379398116646766,0.7304000000000003,0
6,0,3,1,6135.82,466.5,2.05,0.2,1,0.719,12.92,0,2024,7,15,1,0.0003341036731846762,2.584,0.07602895782470803,0.05620000000000001,0
3,8,2,2,4434.56,461.4,1.32,1.5,2,0.787,23.3,1,2025,12,22,1,0.0002976620002886419,34.95,0.10404639919180256,0.31949999999999995,0
4,3,2,0,12516.69,251.68,3.12,0.9,3,0.873,9.0,0,2024,3,12,5,0.0002492671784633158,8.1,0.020107552396040805,0.1143,0
4,5,2,4,5672.92,164.61,1.96,2.4,4,0.887,11.04,0,2024,2,16,0,0.0003455010823350232,26.496,0.02901680263426948,0.27119999999999994,0
6,6,1,4,4573.55,368.83,1.69,1.0,0,0.96,3.09,0,2025,11,8,2,0.000369516021471286,3.09,0.08064413857944047,0.040000000000000036,0
0,5,3,1,8369.09,19.32,3.36,6.9,4,0.713,47.52,1,2024,8,21,6,0.0004014773410251294,327.88800000000003,0.002308494710894494,1.9803000000000004,0
4,8,0,0,2543.4,237.91,3.45,0.3,1,0.647,0.85,0,2024,10,23,6,0.0013564519933946687,0.255,0.09354014311551466,0.1059,0
1,4,0,0,12131.86,168.83,3.68,6.2,0,0.82,0.5,0,2024,3,22,0,0.0003033335366547257,3.1,0.013916250269950362,1.1160000000000003,0
4,7,3,0,1580.98,460.35,2.86,1.4,3,0.708,3.32,1,2024,8,26,1,0.0018090045414869257,4.648,0.29118015408164555,0.40880000000000005,0
2,8,1,1,14809.86,6.99,4.15,9.5,1,0.797,23.13,0,2024,4,13,2,0.00028021871915061996,219.73499999999999,0.00047198285466574293,1.9284999999999997,1
6,0,3,4,11697.55,276.85,4.29,9.3,1,0.71,36.52,1,2025,1,24,0,0.0003667434633748093,339.6360000000001,0.023667349145761296,2.6970000000000005,1
0,5,3,3,3381.38,370.59,3.86,2.3,3,0.576,6.46,0,2024,10,11,0,0.0011415457594236673,14.857999999999999,0.10959726502197327,0.9752000000000001,0
7,3,3,4,580.07,243.02,3.3,6.1,2,0.735,8.4,1,2025,4,9,6,0.0056889685727584596,51.24,0.41894943713689725,1.6165,0
6,4,1,2,12324.19,43.62,2.2,0.3,3,0.845,10.99,0,2025,10,12,3,0.0001785107175400574,3.297,0.003539380681407865,0.04650000000000001,0
1,4,3,1,10749.43,486.26,4.44,9.3,4,0.9,66.01,1,2025,1,8,6,0.00041304515681296595,613.8930000000001,0.04523588692609747,0.9299999999999998,1
1,2,1,0,11070.6,259.49,2.1,5.2,4,0.747,30.22,1,2024,6,15,2,0.00018969161563058912,157.144,0.023439560638086464,1.3156,0
5,0,0,3,11683.42,307.48,1.87,0.4,3,0.583,1.23,0,2025,1,14,5,0.00016005587405057767,0.492,0.026317636445492846,0.16680000000000003,0
1,5,3,1,1573.65,119.07,2.66,3.4,4,0.707,7.76,1,2024,12,29,3,0.0016903377498173036,26.384,0.07566485559050613,0.9962000000000001,0
7,5,2,1,5697.75,242.27,1.39,0.8,1,0.893,4.7,0,2024,8,2,0,0.0002439559475231451,3.7600000000000002,0.04252029309815278,0.0856,0
7,0,0,3,2180.1,215.15,4.43,3.9,2,0.706,0.8,1,2025,11,17,1,0.002032016879959635,3.12,0.0986881335718545,1.1466,0
0,8,3,2,13015.0,38.37,3.14,6.7,4,0.848,71.68,1,2024,9,30,1,0.000241260084517864,480.2560000000001,0.002948136765270841,1.0184000000000002,0
1,3,3,3,9537.82,53.97,3.04,4.7,2,0.754,130.77,1,2025,12,19,0,0.00031873111465722777,614.619,0.005658525742779797,1.1562000000000001,0
5,7,3,2,5298.02,418.9,3.36,3.8,1,0.621,13.62,1,2025,11,30,3,0.0006341991913960309,51.75599999999999,0.07906727418922539,1.4402,0
5,3,3,1,1421.6,120.67,2.84,1.2,3,0.898,2.51,0,2025,10,25,2,0.0019977490151941476,3.0119999999999996,0.0848832301631964,0.12239999999999997,0
5,2,1,2,5009.24,98.28,1.31,2.4,2,0.542,31.75,1,2024,3,14,4,0.0002615167171067867,76.2,0.019619742715461828,1.0992,0
6,3,1,2,5215.16,252.95,3.22,1.0,0,0.762,3.97,1,2025,9,15,1,0.0006174307212051021,3.97,0.04850282637541322,0.238,0
0,2,1,0,11079.29,384.6,3.56,8.1,1,0.604,16.0,0,2025,10,12,3,0.0003213202290038441,129.6,0.03471341575137035,3.2076000000000002,1
2,0,2,4,9744.58,31.91,2.58,1.4,0,0.534,6.24,0,2024,6,24,1,0.00026476256544663806,8.735999999999999,0.003274640877287682,0.6523999999999999,0
0,4,0,4,13364.58,288.83,3.7,6.0,1,0.751,1.59,1,2025,6,30,1,0.0002768511992146405,9.540000000000001,0.021611603207882326,1.494,0
0,2,0,1,7347.12,60.49,1.95,3.4,2,0.75,3.66,1,2024,9,7,2,0.0002654101198837095,12.444,0.008233158026546457,0.85,0
4,8,0,1,2234.12,19.19,1.93,2.3,3,0.853,0.5,1,2024,6,16,3,0.0008638748142445348,1.15,0.008589511754068717,0.3381,0
3,6,1,4,10842.05,27.32,1.73,6.4,4,0.872,29.43,1,2025,4,18,0,0.00015956392010735979,188.352,0.002519818668978653,0.8192,0
0,8,1,3,11531.38,417.25,2.43,4.6,2,0.864,78.49,1,2025,1,23,4,0.0002107293316151233,361.054,0.03618387391621818,0.6256,0
2,8,0,0,8638.52,59.87,4.0,4.0,1,0.705,1.94,1,2024,10,3,4,0.00046304228039062244,7.76,0.006930585331746641,1.1800000000000002,0
3,8,0,4,11679.02,23.53,3.93,5.9,2,0.816,6.92,1,2025,10,17,0,0.0003365008365427921,40.828,0.002014723838130254,1.0856000000000003,0
1,2,3,0,7660.04,219.51,2.46,4.9,3,0.788,15.17,1,2025,12,5,0,0.0003211471480566681,74.333,0.028656508321105372,1.0388,0
5,4,1,0,8079.63,422.15,3.14,3.0,2,0.711,50.51,1,2025,7,24,4,0.0003886316576377879,151.53,0.0522486797043924,0.8670000000000001,0
5,3,0,4,6699.34,131.94,3.58,5.6,2,0.799,3.61,1,2024,8,12,1,0.0005343809987252476,20.215999999999998,0.01969447736642714,1.1255999999999997,0
0,1,0,1,868.58,211.43,2.0,6.7,2,0.974,0.93,1,2025,12,2,5,0.0023026088558336594,6.231000000000001,0.24342029519445532,0.17420000000000016,0
3,5,2,3,2064.43,20.92,1.75,0.3,0,0.596,0.99,0,2024,11,28,4,0.0008476916146345481,0.297,0.01013354775894557,0.1212,0
2,7,0,1,955.72,225.09,4.41,4.7,1,0.953,0.6,0,2024,2,27,5,0.004614322186414431,2.82,0.23551877118821413,0.2209000000000002,0
4,0,3,4,9727.95,289.23,3.24,0.6,0,0.527,13.93,1,2024,8,22,4,0.0003330609223937212,8.357999999999999,0.029731855118498757,0.2838,0
4,6,0,4,5058.16,285.88,4.44,1.9,4,0.654,0.78,0,2024,2,2,0,0.0008777895519319279,1.482,0.05651857592484224,0.6573999999999999,0
4,3,3,4,7874.28,166.88,2.31,5.6,3,0.644,17.18,0,2024,11,19,5,0.0002933601548332038,96.208,0.02119304876128357,1.9935999999999998,0
3,1,1,4,13659.71,158.45,3.52,8.7,2,0.813,108.49,1,2025,2,14,0,0.0002576921471978541,943.8629999999998,0.011599807023721587,1.6269000000000005,1
2,5,2,3,4114.74,54.21,1.93,8.8,0,0.566,3.39,1,2024,10,1,5,0.00046904543178912883,29.832000000000004,0.013174586972688434,3.819200000000001,1
5,2,3,1,6450.55,184.03,2.06,0.7,0,0.941,9.61,0,2024,3,8,0,0.00031935261334304824,6.726999999999999,0.028529350210447172,0.04130000000000003,0
5,3,3,0,11455.49,50.65,2.89,4.2,1,0.914,28.85,0,2024,8,4,3,0.0002522807841480373,121.17000000000002,0.004421460801764045,0.36119999999999985,0
2,7,0,2,3817.57,383.53,2.25,5.8,2,0.826,3.01,1,2025,8,3,3,0.000589380155439193,17.458,0.10046443156248608,1.0092000000000003,0
6,5,2,0,1616.21,483.17,1.75,1.5,3,0.729,1.59,0,2024,11,18,1,0.0010827800842712271,2.3850000000000002,0.2989524876099022,0.40650000000000003,0
2,8,0,4,4701.4,485.07,2.07,7.7,1,0.966,0.82,1,2024,8,5,1,0.0004402943803973285,6.314,0.10317564980644064,0.26180000000000025,1
1,6,0,4,2837.71,432.67,1.32,7.4,0,0.915,0.5,1,2025,11,2,3,0.0004651638116650398,3.7,0.15247153514629755,0.6289999999999998,1
0,2,2,3,13980.62,300.8,3.52,9.0,0,0.75,12.52,1,2025,5,26,1,0.0002517771028752659,112.67999999999999,0.021515497882068177,2.25,1
3,2,0,4,12217.75,350.73,2.82,0.1,3,0.851,0.61,0,2025,2,9,3,0.00023081172883714267,0.061,0.028706594913138674,0.014900000000000004,0
0,2,0,4,9684.35,143.32,1.51,2.2,0,0.783,0.7,0,2025,10,20,1,0.00015592166743250708,1.54,0.01479913468637544,0.4774,0
7,2,0,2,13136.18,315.75,1.77,8.3,1,0.794,0.99,1,2025,4,14,1,0.00013474236802479868,8.217,0.024036668194254342,1.7097999999999998,1
6,4,1,0,12153.25,228.37,1.54,6.7,3,0.665,14.04,1,2024,5,26,3,0.0001267150762141814,94.068,0.018790858412358835,2.2445,0
7,3,3,1,3205.27,241.53,3.22,8.9,1,0.731,9.81,1,2024,9,28,2,0.001004595556692572,87.30900000000001,0.07535402633787482,2.3941000000000003,1
0,4,3,4,13442.11,379.13,1.51,0.6,3,0.539,24.04,0,2024,5,22,6,0.00011233355477674264,14.424,0.028204649418878434,0.27659999999999996,0
5,0,0,0,8320.46,141.68,3.69,6.0,1,0.679,2.04,1,2024,9,9,1,0.00044348509577595474,12.24,0.017027904707191673,1.9259999999999997,0
7,7,1,2,12207.88,159.7,1.27,5.7,0,0.848,11.27,0,2025,7,28,1,0.00010403116675458802,64.239,0.013081714433628116,0.8664000000000002,0
7,7,2,3,13493.32,462.4,2.02,0.4,1,0.977,12.3,0,2025,7,5,2,0.00014970370524081545,4.920000000000001,0.03426880856601637,0.009200000000000009,0
4,6,2,1,5111.05,29.06,4.14,5.1,3,0.982,4.12,1,2024,9,26,4,0.0008100096848984063,21.012,0.005685720155349683,0.09180000000000008,0
3,7,2,3,2095.75,243.33,3.57,6.1,0,0.778,2.08,1,2025,8,21,4,0.0017034474531790527,12.687999999999999,0.11610640582130503,1.3541999999999998,0
5,8,0,2,3805.06,456.49,1.44,1.9,0,0.803,0.5,0,2025,3,14,0,0.0003784434411021114,0.95,0.11996919890882142,0.3742999999999999,0
3,4,0,0,6693.06,305.57,3.91,2.7,4,0.593,1.46,1,2025,8,20,6,0.000584187202863862,3.942,0.04565475283353204,1.0989000000000002,0
3,4,3,1,12361.21,273.66,2.83,6.4,2,0.848,182.19,1,2025,2,12,6,0.00022894198868880962,1166.016,0.022138609407978672,0.9728000000000002,0
5,1,3,1,12980.59,125.62,3.99,4.7,2,0.535,177.59,1,2025,1,5,3,0.0003073820219265842,834.673,0.009677526214139727,2.1854999999999998,0
7,7,2,1,600.81,172.29,3.18,8.6,1,0.642,0.5,0,2024,8,12,1,0.005292854646227594,4.3,0.2867628701253308,3.0787999999999998,1
3,7,2,3,7905.84,426.17,3.45,3.4,1,0.834,8.15,1,2024,5,21,5,0.00043638626635499837,27.71,0.053905720328263663,0.5644000000000001,0
4,2,2,1,6552.46,280.05,4.48,2.7,2,0.655,35.77,1,2025,6,5,4,0.0006837126819545637,96.57900000000001,0.042739673344057046,0.9315,0
7,3,0,0,3720.56,257.86,1.97,9.8,0,0.525,0.57,0,2025,5,20,5,0.0005294901842733352,5.586,0.06930677102371686,4.655,1
2,1,2,2,2238.05,50.69,3.26,9.1,2,0.916,15.06,1,2024,4,3,6,0.0014566251871048455,137.046,0.022649181206854177,0.7643999999999996,1
1,4,2,2,5395.42,9.0,2.72,0.3,3,0.655,4.29,0,2024,2,18,3,0.0005041312817167153,1.287,0.0016680814468567784,0.1035,0
6,6,3,1,14172.19,481.88,1.33,7.7,1,0.532,40.3,1,2024,4,22,1,9.38457641338424e-05,310.31,0.03400180212091427,3.6035999999999997,1
4,8,1,4,5186.44,189.12,1.25,1.1,4,0.537,10.98,1,2024,6,5,6,0.0002410131034004057,12.078000000000001,0.03646431849206778,0.5093,0
0,6,0,4,8022.46,302.0,1.59,0.3,2,0.626,3.33,1,2025,10,4,2,0.00019819357154787933,0.999,0.0376443135895972,0.1122,0
4,5,2,0,10693.77,40.78,3.34,2.7,3,0.589,8.41,0,2024,6,12,6,0.0003123313854702317,22.707,0.0038134352992443264,1.1097000000000001,0
3,0,2,3,5772.63,341.87,3.07,2.7,0,0.887,4.34,1,2025,11,27,4,0.0005318199849981723,11.718,0.059222572726816025,0.3051,0
7,3,1,1,14590.84,466.35,3.03,8.2,3,0.661,17.28,0,2025,3,8,2,0.00020766453473549157,141.696,0.03196183358874472,2.7797999999999994,1
0,2,1,0,14455.49,288.26,1.31,7.1,0,0.902,14.49,1,2025,9,2,5,9.062300897444501e-05,102.87899999999999,0.01994121264654467,0.6957999999999998,1
0,2,3,2,4150.84,63.93,2.75,9.8,4,0.587,25.66,1,2024,3,6,6,0.0006625165026837942,251.46800000000002,0.015401701824209075,4.0474000000000006,1
0,1,2,0,7710.1,291.28,4.25,7.1,1,0.746,9.27,0,2025,1,29,6,0.0005512250165367505,65.817,0.03777901713337051,1.8034,1
2,7,2,1,4862.74,383.41,2.51,4.2,3,0.844,4.8,0,2025,1,25,2,0.0005161698959845684,20.16,0.07884649395196948,0.6552000000000001,0
7,0,2,4,4630.19,203.8,3.26,7.0,2,0.826,29.71,1,2025,9,2,5,0.0007040747787887754,207.97,0.044015472367224674,1.2180000000000004,1
7,7,0,0,1034.86,440.04,3.77,10.0,4,0.801,0.99,1,2025,4,24,4,0.0036430048508977065,9.9,0.42521693755677104,1.9899999999999995,1
3,1,1,4,9338.68,324.69,3.79,7.1,1,0.962,13.45,0,2025,6,25,6,0.0004058389408353215,95.49499999999999,0.0347682970184223,0.2698000000000002,1
4,0,0,3,7788.85,449.73,2.91,7.6,1,0.614,0.5,1,2024,9,14,2,0.0003736109952046836,3.8,0.057740231227973324,2.9335999999999998,1
1,8,3,2,1246.44,312.13,4.03,9.4,3,0.747,3.64,0,2025,7,20,3,0.0032332081768877766,34.216,0.2504171881518565,2.3782,1
4,6,2,4,4540.37,66.51,2.49,1.1,4,0.942,9.02,0,2024,1,12,0,0.0005484134552910887,9.922,0.01464858590819691,0.06380000000000006,0
2,3,0,0,13669.86,155.54,4.13,7.0,4,0.539,3.36,0,2025,11,27,4,0.00030212452797614606,23.52,0.011378316968864348,3.227,1
4,6,2,2,3973.65,101.7,1.99,8.5,3,0.528,3.09,1,2024,4,27,2,0.0005007990135014408,26.265,0.025593597825676644,4.012,1
4,3,0,2,2600.98,454.5,2.12,9.5,2,0.617,1.27,1,2025,11,29,2,0.0008150773939053741,12.065,0.17474182808018515,3.6385,1
3,8,0,4,7597.07,380.44,1.38,2.1,3,0.817,0.5,1,2025,7,3,4,0.00018164897782961062,1.05,0.05007720081557759,0.38430000000000014,0
1,8,1,1,14791.93,338.52,3.83,5.0,1,0.63,18.87,1,2024,9,30,1,0.0002589249678709945,94.35000000000001,0.02288545172942273,1.85,0
5,4,1,4,4009.8,151.18,2.58,6.8,4,0.595,12.07,1,2025,10,18,2,0.0006434236121502319,82.076,0.03770262856002793,2.754,0
6,0,2,2,10245.97,92.84,1.96,2.5,4,0.729,20.55,1,2024,12,14,2,0.0001912947236816036,51.375,0.009061123544183715,0.6775,0
5,1,1,1,11543.48,378.47,1.96,6.0,1,0.807,15.62,0,2024,4,24,6,0.0001697928181103099,93.72,0.03278647340316785,1.1579999999999997,0
5,7,0,1,3945.74,237.6,4.17,2.6,3,0.624,0.55,1,2024,10,27,3,0.0010568359800696447,1.4300000000000002,0.06021684145432796,0.9776,0
6,6,1,4,11059.14,113.67,3.95,3.3,3,0.65,11.04,0,2025,3,21,0,0.0003571706299043145,36.431999999999995,0.010278376076259095,1.1549999999999998,0
0,1,0,2,5832.86,308.69,3.03,4.4,2,0.807,1.3,1,2024,6,10,1,0.0005194707227672189,5.720000000000001,0.05292258000363458,0.8491999999999998,0
7,0,2,3,9668.43,21.13,3.23,5.3,0,0.973,6.95,0,2025,4,9,6,0.00033407699078340534,36.835,0.0021854634102951563,0.14310000000000012,0
0,5,2,2,9686.18,163.76,2.77,4.5,1,0.837,9.89,0,2024,1,4,4,0.0002859744501960525,44.505,0.016906561719893704,0.7335000000000002,0
3,0,3,1,8268.73,234.81,2.49,4.9,3,0.891,17.38,0,2024,9,26,4,0.00030113451521575867,85.162,0.02839734759751498,0.5341,0
3,5,0,1,1809.2,74.83,4.22,3.0,2,0.683,0.72,1,2025,5,27,5,0.002332522661950033,2.16,0.04136082246296705,0.9509999999999998,0
5,4,3,1,12611.89,492.34,1.61,1.6,2,0.636,151.28,1,2024,7,1,1,0.0001276573138522458,242.048,0.03903776515653086,0.5824,0
5,5,2,3,5151.31,105.34,2.58,0.5,4,0.727,8.38,0,2025,6,3,5,0.0005008434747666127,4.19,0.020449167299191856,0.1365,0
3,8,3,2,3204.52,66.05,2.34,2.0,0,0.904,4.73,0,2024,4,18,4,0.0007302185662751363,9.46,0.020611511240372974,0.19199999999999995,0
7,6,2,0,1091.24,102.56,2.84,5.8,3,0.728,1.56,0,2025,10,2,4,0.002602543895018511,9.048,0.09398482460320369,1.5776000000000001,0
2,4,1,1,9067.95,384.76,2.71,7.9,1,0.923,13.86,0,2024,11,1,0,0.00029885475769054744,109.494,0.04243075888155536,0.6082999999999997,1
1,8,1,1,10324.68,213.33,2.91,1.7,2,0.994,62.57,1,2025,10,16,4,0.0002818489289740699,106.369,0.020662141586954754,0.01020000000000001,0
